BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;KVK-NUMMER
41789;Stichting Gereformeerde Scholengroep;Lavendelweg;7;9731 HR;GRONINGEN;0014;GRONINGEN;Overige;0505244500;www.gsg.nl;Postbus;935;9700 AX;GRONINGEN; ;01123528
41804;Stichting Het Stedelijk Lyceum Enschede;Tiemeister;20;7541 WG;ENSCHEDE;0153;ENSCHEDE;Openbaar;0534800000;www.hetstedelijk.nl;Postbus;3883;7500 DW;ENSCHEDE;702;08175645
41815;Stichting Calvijn College;Klein Frankrijk;19;4461 ZN;GOES;0664;GOES;Reformatorisch;0113211020;www.calvijncollege.nl;Postbus;362;4460 AT;GOES;696;20140185
41824;Stichting OSG Hengelo;Jan Tinbergenstraat;101;7559 SP;HENGELO OV;0164;HENGELO;Openbaar;0742919860;www.osghengelo.nl;Jan Tinbergenstraat;101;7559 SP;HENGELO OV;696;08177914
41830;Stg. Openb. Voortgezet Onderw. Progresso (SOVOP);Pieter Calandlaan;182;1068 NT;AMSTERDAM;0363;AMSTERDAM;Openbaar;0206675353;www.sovop.nl;Postbus;96051;1006 EB;AMSTERDAM; ;34315033
41840;Stichting Internationaal Lokaal Funderend Onderwijs;Henegouwenlaan;2;5628 WK;EINDHOVEN;0772;EINDHOVEN;Samenwerking Opb., Alg. Bijz.;0402645367; ;Postbus;1310;5602 BH;EINDHOVEN;696;17235549
41854;Samenwerkingstichting Voortgezet Onderwijs  ROCvA (VO);Fraijlemaborg;141;1102 CV;AMSTERDAM;0363;AMSTERDAM;Overige;0205791000;www.rocva.nl;Fraijlemaborg;141;1102 CV;AMSTERDAM; ;41216421
41864;Stichting Cambium College voor openbaar voortgezet onderwijs;Courtine;2;5301 DH;ZALTBOMMEL;0297;ZALTBOMMEL;Openbaar;0418512500;www.cambium.org;Courtine;2;5301 DH;ZALTBOMMEL;136;30250204
41867;Stichting Openbaar Voortgezet Onderwijs Goeree-Overflakkee;Koningin Julianaweg;54;3241 XC;MIDDELHARNIS;1924;GOEREE-OVERFLAKKEE;Openbaar;0187482777; ;Koningin Julianaweg;54;3241 XC;MIDDELHARNIS; ;24454846
41882;Stichting SintLucas;Torenallee;75;5617 BB;EINDHOVEN;0772;EINDHOVEN;Samenwerking RK, Alg. Bijz.;0402591391;www.sintlucas.nl;Postbus;872;5600 AW;EINDHOVEN;947;17254488
41883;Stichting Atlas College;Dampten;14;1624 NR;HOORN NH;0405;HOORN;Openbaar;0229206020;www.atlascollege.nl;Dampten;14;1624 NR;HOORN NH; ;37153438
41889;Openb. Schol.gem. Esdal Coll./ Stg.Esdal Coll., SG openb. vg;Angelsloerdijk;13-C;7822 HK;EMMEN;0114;EMMEN;Openbaar;0880009600;www.esdalcollege.nl;Postbus;2041;7801 CA;EMMEN; ;01162526
41897;Stichting Voortgezet Onderwijs De Vechtstreek;Schepersweg;6-A;3621 JK;BREUKELEN UT;1904;STICHTSE VECHT;Samenwerking Opb., RK, Alg. Bi;0346258060;www.broklede.nl;Schepersweg;6-A;3621 JK;BREUKELEN UT;947;30274039
42356;Sticht. Prot. Chr. Voortgezet Onderwijs Gem. Barneveld e.o.;Wethouder Rebellaan;135;3771 KA;BARNEVELD;0203;BARNEVELD;Protestants-Christelijk;0342491469;www.jfc.nl;Postbus;108;3770 AC;BARNEVELD;696;41047289
42505;Stichting Stedelijk Gymnasium Leiden;Fruinlaan;15;2313 EP;LEIDEN;0546;LEIDEN;Openbaar;0715121365;www.gymnasiumleiden.nl;Fruinlaan;15;2313 EP;LEIDEN;947;27362816
42506;Stichting Scholengroep Leonardo Da Vinci Leiden;Kagerstraat;7;2334 CP;LEIDEN;0546;LEIDEN;Openbaar;0715154121;www.davinci-leiden.nl;Postbus;9032;2300 PA;LEIDEN;098;27362846
42507;Stg. Katholiek Voortg. Onderw. Rotterdam;Alexandriestraat;40;3067 MR;ROTTERDAM;0599;ROTTERDAM;Rooms-Katholiek;0104212144;www.emmauscollege.nl;Postbus;84137;3009 CC;ROTTERDAM;134;41129306
42508;Sticht. Openb. Voortg. Onderw. Vlagtwedde;Oude Weg;41;9561 LB;TER APEL;1950;WESTERWOLDE;Openbaar;0599581226;www.rsgterapel.nl;Postbus;47;9560 AA;TER APEL; ;01168266
42510;Stichting Openbaar Onderwijs Groningen;Leonard Springerlaan;39;9727 KB;GRONINGEN;0014;GRONINGEN;Openbaar;0503210300;www.openbaaronderwijsgroepgroningen.nl;Postbus;744;9700 AS;GRONINGEN;804;01166995
42529;Stg. Openb. Voortgezet Onderw. Noordoost-Veluwe;Schotweg;1;8162 GM;EPE;0232;EPE;Openbaar;0578612094;www.rsgnov.nl;Postbus;419;8160 AK;EPE; ;08226403
42530;Stg. Openb. Voortgez. Onderw. Amstelveen;Sportlaan;27;1185 TB;AMSTELVEEN;0362;AMSTELVEEN;Openbaar;0205032266; ;Sportlaan;27;1185 TB;AMSTELVEEN;947;34392212
42534;Stichting dr. Aletta Jacobs College;Laan van de Sport;4;9603 TG;HOOGEZAND;1952;MIDDEN-GRONINGEN;Openbaar;0598350250;www.aletta.nl;Postbus;452;9600 AL;HOOGEZAND;824;50274015
42544;Stg. Voortg. Ond. Prot. Chr. grondslag Noordoostpolder e.o.;Peppellaan;1;8302 AL;EMMELOORD;0171;NOORDOOSTPOLDER;Protestants-Christelijk;0527634567;www.emelwerda.nl;Postbus;16;8300 AA;EMMELOORD;715;50142321
42549;Stichting Openbaar Voortgez. Onderw. Ede;Koekeltse Boslaan;21;6715 CW;EDE GLD;0228;EDE;Openbaar;0318624500;www.pallalsathenecollege.nl;Koekeltse Boslaan;21;6715 CW;EDE GLD;947;51271958
42555;Stichting Krimpenerwaard College;Groene Wetering;1;2922 CX;KRIMPEN AAN DEN IJSSEL;0542;KRIMPEN AAN DEN IJSSEL;Algemeen bijzonder;0180450113;www.kwcollege.nl;Groene Wetering;1;2922 CX;KRIMPEN AAN DEN IJSSEL;696;51309351
42556;Stg. voor CVO op Ref. grondsl. te Gorinchem;Hoefslag;11;4205 NK;GORINCHEM;0512;GORINCHEM;Reformatorisch;0183610361;www.gomarus.nl;Postbus;425;4200 AK;GORINCHEM; ;50378198
42571;Stichting Achterhoek VO;Holterweg;119;7001 EK;DOETINCHEM;0222;DOETINCHEM;Samenwerking Opb., Alg. Bijz.;0314394181;www.achterhoekvo.nl;Postbus;429;7000 AK;DOETINCHEM;744;51614286
42575;Stg. Nuborgh College Prot.Chr. VO op de Noordwest-Veluwe;Kruidenlaan;1;8082 CA;ELBURG;0230;ELBURG;Protestants-Christelijk;0525688199;www.nuborghcollege.nl;Postbus;27;8080 AA;ELBURG;741;52338401
42590;Stichting voortgezet onderwijs Eemsdelta;Pastorielaan;4;9901 CE;APPINGEDAM;1979;EEMSDELTA;Algemeen bijzonder;0596693693;www.eemsdeltacollege.nl;Postbus;173;9930 AD;DELFZIJL; ;53035887
42595;Stichting Open Schoolgemeenschap Bijlmer;Gulden Kruis;5;1103 BE;AMSTERDAM;0363;AMSTERDAM; ;0206909050;www.osbijlmer.nl;Gulden Kruis;5;1103 BE;AMSTERDAM;947;53250788
42606;Stichting voor Christelijk Praktijkonderwijs in Noord-Oost Friesland;Birdaarderstraatweg;82;9101 PK;DOKKUM;1970;NOARDEAST-FRYSLAN;Protestants-Christelijk; ; ;Postbus;147;9100 AC;DOKKUM;780;54304040
42608;Stg tot Oprichting en Insth van Sch voor Chr Voortgezet Ondw te Schoonhoven;Kamerlingh Onnesdreef;4;2871 JN;SCHOONHOVEN;1931;KRIMPENERWAARD;Protestants-Christelijk;0182390539;www.csgwillemdezwijger.nl;Postbus;119;2870 AC;SCHOONHOVEN; ;54147883
42618;Stichting openbaar voortgezet onderwijs Schoonhoven;Albert Plesmanstraat;4;2871 HJ;SCHOONHOVEN;1931;KRIMPENERWAARD;Overige;0182385288;www.schoonhovenscollege.nl;Albert Plesmanstraat;4;2871 HJ;SCHOONHOVEN;947;55627587
42620;Het Baken Almere, Stichting Interconfess. Voortg. Onderw.;Rooseveltweg;5;1314 SJ;ALMERE;0034;ALMERE;Overige;0365307207;www.hetbaken.nl;Postbus;10015;1301 AA;ALMERE; ;55752004
42621;Stichting ZAAM, Interconfessioneel Voortgezet Onderwijs;Dubbelink;2;1102 AL;AMSTERDAM;0363;AMSTERDAM;Overige;0207059600; ;Postbus;12426;1100 AK;AMSTERDAM; ;55752330
42623;Stichting Openbaar Onderwijs Zwolle en Regio;Dobbe;74;8032 JX;ZWOLLE;0193;ZWOLLE; ;0384555940;www.ooz.nl;Postbus;55;8000 AB;ZWOLLE; ;56004028
42635;Stichting Trigoon;Eikstraat;36;1623 LT;HOORN NH;0405;HOORN; ;0229548575;www.trigoon.wf;Postbus;353;1620 AJ;HOORN NH;136;56888201
42681;Ver. Stg./Inst.houd. Chr. Sch. Vgz. Onderwijs Goeree-Overfl.;Koningin Julianaweg;57;3241 XB;MIDDELHARNIS;1924;GOEREE-OVERFLAKKEE;Protestants-Christelijk;0187482745;www.csgpm.nl;Postbus;181;3240 AD;MIDDELHARNIS;136;40321861
42696;Stichting voor Islamitisch Voortgezet Onderwijs in Rotterdam e.o.;Montessoriweg;55;3083 AN;ROTTERDAM;0599;ROTTERDAM;Islamitisch;0107900555;www.de-opperd.nl;Montessoriweg;55;3083 AN;ROTTERDAM;136;59065141
42709;Stg Onderwijsgroep Zuid-Hollandse Waarden voor PO en VO;Hakwei;2;2992 ZB;BARENDRECHT;0489;BARENDRECHT;Openbaar;0180642710;www.ozhw.nl;Postbus;206;2990 AE;BARENDRECHT; ;62127721
42716;Stichting De Amsterdamse MAVO & HAVO;Linnaeushof;48;1098 KM;AMSTERDAM;0363;AMSTERDAM;Humanistisch;0207600030;www.deamsterdamsemavo.nl;Linnaeushof;48;1098 KM;AMSTERDAM;744;59093455
42718;Stichting Persoonlijk VO;Ossengang;45;4191 LR;GELDERMALSEN;1960;WEST BETUWE;RK,PC,GV,RE,EV,AN,HI,I,J,AB,HU;0204910016;www.svpo.nl;Postbus;36026;1020 MA;AMSTERDAM;940;51134861
42752;Stichting Islamitisch Onderwijs;Naritaweg;30;1043 BZ;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0622006258; ;Bataviastraat;45-H;1095 EN;AMSTERDAM;706;51143267
42770;Stichting Voortgezet Onderwijs Zeeuws-Vlaanderen;Oude Vaart;1;4537 CD;TERNEUZEN;0715;TERNEUZEN;Samenwerking PC, RK, Alg. Bijz; ; ;Oude Vaart;1;4537 CD;TERNEUZEN; ;71916873
42771;Stichting OSG de Hogeberg;Haffelderweg;40;1791 AS;DEN BURG;0448;TEXEL;Openbaar;0222312121;www.dehogeberg.nl;Postbus;153;1790 AD;DEN BURG;638;72241713
42813;GSR Vereniging voor Gereformeerd Voortgezet Onderwijs in de Randstad;Valenciadreef;15;3067 WL;ROTTERDAM;0599;ROTTERDAM;Gereformeerd;0102862930;www.gsr.nl;Valenciadreef;15;3067 WL;ROTTERDAM;638;76402282
42817;Stichting Openbaar Voortgezet Onderwijs Veenendaal;Rembrandtlaan;2;3904 ZK;VEENENDAAL;0345;VEENENDAAL;Openbaar;0318509900;www.rembrandt-college.nl;Postbus;292;3900 AG;VEENENDAAL; ;81259328
42818;Stichting Veluwse Onderwijsgroep;Kanaal Noord;350;7323 AM;APELDOORN;0200;APELDOORN;Samenwerking Opb., Alg. Bijz.;0555779799;www.veluwseonderwijsgroep.nl;Postbus;20250;7302 HG;APELDOORN; ;08184425
42846;Stichting voor Voortgezet Vrijeschool Onderwijs Delft Mercurius;Molenstraat;22;2611 KA;DELFT;0503;DELFT;Overige;0636298200; ;Molenstraat;22;2611 KA;DELFT; ;81901933
42860;Stichting Onderwijsgroep Midden-Friesland;Ds Kingweg;1;8446 KZ;HEERENVEEN;0074;HEERENVEEN;Overige;0513801800;www.ogmf.nl;Postbus;597;8440 AN;HEERENVEEN; ;88820793
42992;Libréon, Stichting voor Katholiek en Openbaar Voortgezet Onderwijs;van Riebeecklaan;2;4818 EB;BREDA;0758;BREDA;Samenwerking RK, Alg. Bijz.;0765141405;www.skvob.nl;Postbus;4669;4803 ER;BREDA; ;41102332
43239;Stichting Monseigneur Frencken;Slotlaan;40;4902 AE;OOSTERHOUT NB;0826;OOSTERHOUT;Rooms-Katholiek;0162426355;www.frenckencollege.nl;Postbus;506;4900 AM;OOSTERHOUT NB;947;41103031
43837;Stg. Ger. Voortgez. Onderwijs Oost-Nederland;Campus;5;8017 CB;ZWOLLE;0193;ZWOLLE;Gereformeerd;0384698698;www.greijdanus.nl;Postbus;393;8000 AJ;ZWOLLE;613;40060269
44813;Stichting Onderwijsgroep Buitengewoon;Wylrehofweg;11;5912 PM;VENLO;0983;VENLO;Algemeen bijzonder;0773559050;www.ogbuitengewoon.nl;Postbus;809;5900 AV;VENLO;953;41062151
45697;Stg. Kath. Praktijkonderwijs Amersfoort en Omstreken;Zangvogelweg;152;3815 DR;AMERSFOORT;0307;AMERSFOORT;Rooms-Katholiek;0334723163;www.debaander.nl;Zangvogelweg;152;3815 DR;AMERSFOORT;706;41188689
46594;Sticht. Chr. Voortgez. Onderw. Vincent van Gogh;Selma Lagerloflaan;3;9406 KB;ASSEN;0106;ASSEN;Protestants-Christelijk;0592390290;www.csvincentvangogh.nl;Postbus;226;9400 AE;ASSEN; ;40048355
46632;Stichting Scholengem.sch. Kennemer Lyc.;Adriaan Stoopplein;7;2051 KA;OVERVEEN;0377;BLOEMENDAAL;Algemeen bijzonder;0235221060;www.kennemerlyceum.nl;Postbus;8;2050 AA;OVERVEEN;136;41222612
46879;Stichting 'Het Rijnlands Lyceum';Charlotte van Pallandtln;14;2272 TR;VOORBURG;1916;LEIDSCHENDAM-VOORBURG;Algemeen bijzonder;0715730910;www.rijnlandslyceum.nl;Postbus;33;2270 AA;VOORBURG;064;41150857
47711;Stichting Scholengemeenschap Montessori Lyceum Rotterdam;Schimmelpenninckstraat;17;3039 KS;ROTTERDAM;0599;ROTTERDAM;Algemeen bijzonder;0104654022;www.rml.nl;Schimmelpenninckstraat;17;3039 KS;ROTTERDAM; ;41126715
48648;Stichting St.- Jozef M.A.V.O. te Vlaardingen;Willem de Zwijgerlaan;240;3136 AX;VLAARDINGEN;0622;VLAARDINGEN;Rooms-Katholiek;0104744166;www.sjm.nl;Postbus;6004;3130 DA;VLAARDINGEN;136;41141401
49155;HIJN scholengroep;Vreeswijksestraatweg;6-A;3432 NA;NIEUWEGEIN;0356;NIEUWEGEIN;Samenwerking PC, RK, Alg. Bijz;0306036604;www.cals.nl;Postbus;128;3430 AC;NIEUWEGEIN;947;41179498
49701;Vereniging voor Christelijk Voortgezet Onderwijs;Paul Krugerweg;44-50;3851 ZJ;ERMELO;0233;ERMELO;Protestants-Christelijk;0341274950;www.groevenbeek.nl;Postbus;210;3850 AE;ERMELO; ;40094198
49778;Stichting voor Interconfessioneel Voortgezet Onderwijs in Oost West Friesland;De Aanloop;6;1613 KW;GROOTEBROEK;0532;STEDE BROEC;Samenwerking PC, RK;0228510300;www.martinuscollege.nl;Postbus;37;1610 AA;BOVENKARSPEL;696;41234076
53990;Stichting Fioretti Teylingen;Leidsevaart;4;2215 RE;VOORHOUT;1525;TEYLINGEN;Rooms-Katholiek;0252461800;www.teylingen-college.nl;Postbus;200;2215 ZL;VOORHOUT; ;41198151
57266;Stichting Confessioneel Onderwijs Leiden;Marienpoelstraat;4;2334 CZ;LEIDEN;0546;LEIDEN;Rooms-Katholiek;0715175551;www.scoleiden.nl;Postbus;4049;2301 RA;LEIDEN; ;41166061
58722;Stichting Samenwerkingsschool 'de Overlaat';Eikendonklaan;3;5143 NG;WAALWIJK;0867;WAALWIJK;Samenwerking PC, RK, Alg. Bijz; ; ;Postbus;259;5140 AG;WAALWIJK; ;41099227
