BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
31231;25CM;25CM07;Chr SGM Liudger;BURGUM;737;TYTSJERKSTERADIEL;Friesland;520;1;521
31231;25CM;25CM08;Chr SGM Liudger;WASKEMEER;85;OOSTSTELLINGWERF;Friesland;243;0;243
31231;25CM;25CM10;Chr SGM Liudger;DRACHTEN;90;SMALLINGERLAND;Friesland;129;0;129
31231;25CM;25CM12;Chr SGM Liudger;BURGUM;737;TYTSJERKSTERADIEL;Friesland;139;1;140
31240;02CR;02CR00;Willem Lodewijkgymnasium;GRONINGEN;14;GRONINGEN;Groningen;674;3;677
33372;16QH;16QH00;De Nassau;BREDA;758;BREDA;Noord-Brabant;431;1;432
33372;16QH;16QH01;De Nassau;BREDA;758;BREDA;Noord-Brabant;1390;7;1397
33944;02DQ;02DQ00;Chr Gymnasium Sorghvliet;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;755;0;755
35647;00PF;00PF00;Carmelcollege Emmen;EMMEN;114;EMMEN;Drenthe;1338;0;1338
35647;01FY;01FY00;Augustinianum SGM;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1282;4;1286
35647;01UH;01UH00;Maartenscollege;HAREN GN;14;GRONINGEN;Groningen;979;17;996
35647;01VJ;01VJ00;Etty Hillesum Lyceum;DEVENTER;150;DEVENTER;Overijssel;796;1;797
35647;01VJ;01VJ01;Etty Hillesum Lyceum;DEVENTER;150;DEVENTER;Overijssel;818;0;818
35647;01VJ;01VJ03;Etty Hillesum Lyceum;DEVENTER;150;DEVENTER;Overijssel;1165;3;1168
35647;01VJ;01VJ04;Etty Hillesum Lyceum;DEVENTER;150;DEVENTER;Overijssel;1334;17;1351
35647;01VJ;01VJ05;Etty Hillesum Lyceum;DEVENTER;150;DEVENTER;Overijssel;346;0;346
35647;01VJ;01VJ06;Etty Hillesum Lyceum;DEVENTER;150;DEVENTER;Overijssel;247;0;247
35647;01VJ;01VJ12;Etty Hillesum Lyceum;DEVENTER;150;DEVENTER;Overijssel;165;0;165
35647;02EK;02EK00;Pius X College;ALMELO;141;ALMELO;Overijssel;531;0;531
35647;02EK;02EK01;Pius X College;ALMELO;141;ALMELO;Overijssel;245;0;245
35647;02EK;02EK02;Pius X College;RIJSSEN;1742;RIJSSEN-HOLTEN;Overijssel;409;0;409
