BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
71553;14VG;14VG00;Alkwin Kollege;UITHOORN;0451;UITHOORN;Noord-Holland;1554;29;1583
72464;15DN;15DN00;Chr SSVO De Boog;APELDOORN;0200;APELDOORN;Gelderland;169;0;169
72853;20GS;20GS00;Don Bosco College;VOLENDAM;0385;EDAM-VOLENDAM;Noord-Holland;1547;2;1549
73114;12PR;12PR00;Praktijkcollege Tilburg;TILBURG;0855;TILBURG;Noord-Brabant;242;0;242
73646;02SB;02SB00;Lyceum Sancta Maria;HAARLEM;0392;HAARLEM;Noord-Holland;1397;24;1421
73841;00XA;00XA00;Trinitas College;HEERHUGOWAARD;0398;HEERHUGOWAARD;Noord-Holland;1840;22;1862
73841;00XA;00XA01;Trinitas College;HEERHUGOWAARD;0398;HEERHUGOWAARD;Noord-Holland;1335;2;1337
74050;01GV;01GV00;Mavoschool Sancta Maria;'S-HERTOGENBOSCH;0796;S HERTOGENBOSCH;Noord-Brabant;421;4;425
74374;02ME;02ME00;Tabor College;HOORN NH;0405;HOORN;Noord-Holland;1030;0;1030
74374;02ME;02ME01;Tabor College loc Werenfridus;HOORN NH;0405;HOORN;Noord-Holland;1404;8;1412
74374;02ME;02ME02;Tabor College loc Oscar Romero;HOORN NH;0405;HOORN;Noord-Holland;1403;11;1414
75311;06XL;06XL00;Markland College Oudenbosch;OUDENBOSCH;1655;HALDERBERGE;Noord-Brabant;1164;1;1165
75311;30EU;30EU00;Markland College Zevenbergen;ZEVENBERGEN;1709;MOERDIJK;Noord-Brabant;1087;5;1092
76415;02TD;02TD00;Jan Arentsz Chr SGM;ALKMAAR;0361;ALKMAAR;Noord-Holland;1581;29;1610
76415;02TD;02TD03;CSG Jan Arentsz - Van der Meij;ALKMAAR;0361;ALKMAAR;Noord-Holland;107;0;107
76415;02TD;02TD04;Jan Arentsz Chr SGM;ZUID-SCHARWOUDE;0416;LANGEDIJK;Noord-Holland;479;1;480
76688;02TG;02TG00;Het Baarnsch Lyceum;BAARN;0308;BAARN;Utrecht;1029;6;1035
76740;17WP;17WP00;Werkpl Kindergem Sch;BILTHOVEN;0310;DE BILT;Utrecht;1314;8;1322
76753;02TH;02TH00;Jordan MLU;ZEIST;0355;ZEIST;Utrecht;925;1;926
77690;01KD;01KD00;Kolom Praktijkcoll. De Schakel;HAARLEM;0392;HAARLEM;Noord-Holland;131;0;131
77690;09PY;09PY00;Kolom Praktijkcoll. De Atlant;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;166;0;166
77690;10JY;10JY00;Kolom Praktijkcoll. Het Plein;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;217;0;217
77690;26HP;26HP00;Kolom Praktijkcollege Noord;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;202;0;202
77690;27VH;27VH00;Kolom Praktijkcollege De Dreef;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;179;0;179
77741;14WE;14WE00;Adelbert College;WASSENAAR;0629;WASSENAAR;Zuid-Holland;1082;15;1097
78001;02TZ;02TZ00;RK SGM St Michaelcollege;ZAANDAM;0479;ZAANSTAD;Noord-Holland;1331;14;1345
78132;26KA;26KA00;Futura College;WOERDEN;0632;WOERDEN;Utrecht;263;0;263
